Z	A	name	Halflife
0	1	1 n	613.9
1	1	1H	stbl
1	2	2H	stbl
1	3	3H	388523520
2	3	3He	stbl
1	4	4H	1.39E-22
2	4	4He	stbl
3	4	4Li	9.1E-23
2	5	5He	7E-22
3	5	5Li	3.7E-22
1	6	6H	2.9E-22
2	6	6He	0.80692
3	6	6Li	stbl
4	6	6Be	5E-21
2	7	7He	2.51E-21
3	7	7Li	stbl
4	7	7Be	4598208
5	7	7B	5.7E-22
2	8	8He	0.1191
3	8	8Li	0.8394
4	8	8Be	8.19E-17
5	8	8B	0.77
6	8	8C	3.5E-21
2	9	9He	2.5E-21
3	9	9Li	0.1783
4	9	9Be	stbl
5	9	9B	8E-19
6	9	9C	0.1265
2	10	10He	3.1E-21
3	10	10Li	2E-21
4	10	10Be	4.76194E+13
5	10	10B	stbl
6	10	10C	19.3009
7	10	10N	2E-22
3	11	11Li	0.00875
4	11	11Be	13.76
5	11	11B	stbl
6	11	11C	1221.84
7	11	11N	5.5E-22
4	12	12Be	0.0215
5	12	12B	0.0202
6	12	12C	stbl
7	12	12N	0.011
3	13	13Li	3.3E-21
4	13	13Be	1E-21
5	13	13B	0.01733
6	13	13C	stbl
7	13	13N	597.9
8	13	13O	0.00858
4	14	14Be	0.00435
5	14	14B	0.0125
6	14	14C	1.79755E+11
7	14	14N	stbl
8	14	14O	70.62
9	14	14F	5E-22
4	15	15Be	7.9E-22
5	15	15B	0.00993
6	15	15C	2.449
7	15	15N	stbl
8	15	15O	122.24
9	15	15F	1.1E-21
4	16	16Be	6.5E-22
6	16	16C	0.747
7	16	16N	7.13
8	16	16O	stbl
9	16	16F	1.1E-20
5	17	17B	0.00508
6	17	17C	0.193
7	17	17N	4.173
8	17	17O	stbl
9	17	17F	64.37
10	17	17Ne	0.1092
6	18	18C	0.092
7	18	18N	0.6192
8	18	18O	stbl
9	18	18F	6584.34
10	18	18Ne	1.6642
11	18	18Na	1.3E-21
5	19	19B	0.00292
6	19	19C	0.0462
7	19	19N	0.336
8	19	19O	26.47
9	19	19F	stbl
10	19	19Ne	17.274
12	19	19Mg	5E-12
6	20	20C	0.016
7	20	20N	0.136
8	20	20O	13.51
9	20	20F	11.163
10	20	20Ne	stbl
11	20	20Na	0.4479
12	20	20Mg	0.093
7	21	21N	0.084
8	21	21O	3.42
9	21	21F	4.158
10	21	21Ne	stbl
11	21	21Na	22.422
12	21	21Mg	0.1186
6	22	22C	0.0062
7	22	22N	0.023
8	22	22O	2.25
9	22	22F	4.23
10	22	22Ne	stbl
11	22	22Na	82050364.8
12	22	22Mg	3.8755
13	22	22Al	0.0911
14	22	22Si	0.029
7	23	23N	0.0139
8	23	23O	0.097
9	23	23F	2.23
10	23	23Ne	37.14
